NR_TURNO;SG_UF;CD_CARGO;DS_CARGO;NR_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;DS_NACIONALIDADE;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;ST_REELEICAO
1;DF;8;DEPUTADO DISTRITAL;11022;ANA MARIA;11;PP;BRASILEIRA NATA;CE;55;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;14222;SIMONE PIMENTEL;14;PTB;BRASILEIRA NATA;AL;59;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;44566;MARIA ABADIA;44;UNIÃO;BRASILEIRA NATA;GO;78;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;18180;CALINA LÍGIA;18;REDE;BRASILEIRA NATA;DF;50;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);PARDA;N
1;DF;6;DEPUTADO FEDERAL;2220;MARCELA PASSAMANI ;22;PL;BRASILEIRA NATA;ES;41;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;15678;WASHINGTON MESQUITA;15;MDB;BRASILEIRA NATA;DF;57;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;55444;OSVALDÃO DO POVO;55;PSD;BRASILEIRA NATA;DF;56;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;N
1;DF;6;DEPUTADO FEDERAL;2223;ANGÉLICA KATE MARRONE;22;PL;BRASILEIRA NATA;DF;60;FEMININO;SUPERIOR COMPLETO;DIVORCIADO(A);PRETA;N
1;DF;8;DEPUTADO DISTRITAL;19156;SILVÂNIA LEAL;19;PODE;BRASILEIRA NATA;PI;50;FEMININO;SUPERIOR INCOMPLETO;SOLTEIRO(A);PARDA;N
1;DF;6;DEPUTADO FEDERAL;1600;EVERTON;16;PSTU;BRASILEIRA NATA;DF;38;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PRETA;N
1;DF;8;DEPUTADO DISTRITAL;15615;PROFESSOR JORDENES;15;MDB;BRASILEIRA NATA;MG;51;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;55055;ANDREIA SALLES;55;PSD;BRASILEIRA NATA;RJ;51;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;70777;EDIMAR PIRENEUS;70;AVANTE;BRASILEIRA NATA;GO;73;MASCULINO;SUPERIOR COMPLETO;VIÚVO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;50044;TALITA VICTOR;50;PSOL;BRASILEIRA NATA;DF;38;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
